zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.unit,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,availabilityDate,brokerName,lotAreaString,streetViewURL,streetViewMetadataURL,communityName,builderName,hdpData.homeInfo.providerListingID,plid,isCdpResult,isComingSoonCommunity
,,,https://photos.zillowstatic.com/fp/34a7ef4f70140741aa8bfed63ace4e68-p_e.jpg,True,/b/rawlins-park-condominiums-dallas-tx-5Xy4PM/,FOR_SALE,For Rent,"From $319,000",,"4034 Rawlins St, Dallas, TX",,,,,,,,,,,False,,False,False,False,False,,False,,1208443000.0,32.81401,-96.80967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,970.0,1002845826.0,32.81401--96.80967,True,False,2.0,,,,,,,,,,,,,,,,
26838376,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d3941a0244017ae5240c03a610637bfb-p_e.jpg,True,/homedetails/7602-Woodthrush-Dr-Dallas-TX-75230/26838376_zpid/,FOR_SALE,Condo for sale,"$325,000",$325K,"7602 Woodthrush Dr, Dallas, TX 75230",2.0,3.0,1530.0,22 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,80032000.0,32.888847,-96.77608,26838376.0,7602 Woodthrush Dr,75230,Dallas,TX,32.888847,-96.77608,325000.0,3.0,2.0,1530.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,325000.0,80032000.0,True,False,False,USD,USA,275400.0,,0.521,acres,False,,330200.0,2759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/dce21e8ada8709c88fc3a208d3eff7c3-p_e.jpg,True,/b/8110-skillman-st-dallas-tx-5XkD6Y/,FOR_SALE,For Rent,"From $90,000",,"8110 Skillman St, Dallas, TX",,,,,,,,,,,False,,False,False,False,False,,False,,2008153000.0,32.890556,-96.727936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,608.0,1001570170.0,32.890556--96.727936,True,False,3.0,,,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/2bd4427cde9fb78918555450735b8801-p_e.jpg,True,/b/2610-kimsey-dr-dallas-tx-9KTQK9/,FOR_SALE,For Rent,"From $490,000",,"2610 Kimsey Dr, Dallas, TX",,,,,,,,,,,False,,False,False,False,False,,False,,261056000.0,32.82416,-96.83735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1612.0,2066553447.0,32.82416--96.83735,True,False,2.0,,,,,,,,,,,,,,,,
303984990,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d297a8203470b9fdef199048e1df8553-p_e.jpg,True,/homedetails/1825-Euclid-Ave-Dallas-TX-75206/303984990_zpid/,FOR_SALE,Multi-family home for sale,"$1,440,000",$1.44M,"1825 Euclid Ave, Dallas, TX 75206",4.0,3.0,2939.0,Open: Sat 12pm-4pm,openHouse,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,254452000.0,32.812042,-96.77388,303984990.0,1825 Euclid Ave,75206,Dallas,TX,32.812042,-96.77388,1440000.0,3.0,4.0,2939.0,MULTI_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,1440000.0,254452000.0,True,False,False,USD,USA,878500.0,,3746.16,sqft,False,,1448400.0,8191.0,,,,,,,,,,,,True,Sat. 12-4pm,"[{'open_house_start': 1718478000000, 'open_house_end': 1718492400000}, {'open_house_start': 1718564400000, 'open_house_end': 1718575200000}]",,,,,,,,,,,,,
26692771,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0c099a98841ba88fcdb4b852fc8f5530-p_e.jpg,True,/homedetails/4203-Abbott-Ave-Dallas-TX-75205/26692771_zpid/,FOR_SALE,Multi-family home for sale,"$1,800,000",$1.80M,"4203 Abbott Ave, Dallas, TX 75205",3.0,4.0,3309.0,Turtle creek,homeInsight,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,285363000.0,32.818703,-96.7964,26692771.0,4203 Abbott Ave,75205,Dallas,TX,32.818703,-96.7964,1800000.0,4.0,3.0,3309.0,MULTI_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,1800000.0,285363000.0,True,False,False,USD,USA,1578170.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303983810,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c6f0ed1f33fc7450b63c61695bfec762-p_e.jpg,True,/homedetails/3130-N-Harwood-St-APT-1401-Dallas-TX-75201/303983810_zpid/,FOR_SALE,Condo for sale,"$1,926,000",$1.93M,"3130 N Harwood St APT 1401, Dallas, TX 75201",3.0,4.0,2231.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,197956000.0,32.79714,-96.811325,303983810.0,3130 N Harwood St APT 1401,75201,Dallas,TX,32.79714,-96.811325,1926000.0,4.0,3.0,2231.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,1926000.0,197956000.0,True,False,False,USD,USA,1236690.0,Apt 1401,1.87,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26748001,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6c45495e2d74a3be662753148a5bde20-p_e.jpg,True,/homedetails/5831-E-University-Blvd-APT-B-Dallas-TX-75206/26748001_zpid/,FOR_SALE,Condo for sale,"$310,000",$310K,"5831 E University Blvd APT B, Dallas, TX 75206",2.0,2.0,1338.0,6 minutes ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,415000.0,32.84608,-96.76671,26748001.0,5831 E University Blvd APT B,75206,Dallas,TX,32.84608,-96.76671,310000.0,2.0,2.0,1338.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,310000.0,415000.0,True,False,False,USD,USA,214080.0,Apt B,3.854,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26898652,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/12e39f507b0942130e48239af6bee731-p_e.jpg,True,/homedetails/3831-Turtle-Creek-Blvd-APT-23A-Dallas-TX-75219/26898652_zpid/,FOR_SALE,Condo for sale,"$2,495,000",$2.50M,"3831 Turtle Creek Blvd APT 23A, Dallas, TX 75219",2.0,4.0,4628.0,24 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,2152505000.0,32.81412,-96.79979,26898652.0,3831 Turtle Creek Blvd APT 23A,75219,Dallas,TX,32.81412,-96.79979,2495000.0,4.0,2.0,4628.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,2495000.0,2152505000.0,True,False,False,USD,USA,2264690.0,Apt 23A,2.109,acres,False,,2378000.0,14734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26648735,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e9f0d5079f4162e53cc620be3e668704-p_e.jpg,True,/homedetails/6018-Jereme-Trl-Dallas-TX-75252/26648735_zpid/,FOR_SALE,House for sale,"$469,900",$470K,"6018 Jereme Trl, Dallas, TX 75252",3.0,3.0,1820.0,Open: Sat 12pm-2pm,openHouse,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,1217359000.0,33.00235,-96.80241,26648735.0,6018 Jereme Trl,75252,Dallas,TX,33.00235,-96.80241,469900.0,3.0,3.0,1820.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,469900.0,1217359000.0,True,False,False,USD,USA,390602.0,,3484.8,sqft,False,,461400.0,4697.0,,,,,,,,,,,,True,Sat. 12-2pm,"[{'open_house_start': 1718478000000, 'open_house_end': 1718485200000}]",,,,,,,,,,,,,
